season,pop,quadrat,fullName,prevNum,num,mark_cell,DNA sample,clusterLength,clusterWidth,nRosettes,nLeaves,lengthLongestLeaf,nInfl,lengthInfl,nSiliques,lengthLongestSilique,comments
spring2022,laerdal,8,laerdal8,,1,P,15,,,1,10,1.4,1,33,,,
spring2022,laerdal,9,laerdal9,,6,5C,,6,5,2,25,1.4,0,,,,
spring2022,laerdal,9,laerdal9,,10,5A,,,,1,15,1.4,1,,,,
spring2022,laerdal,10,laerdal10,,2,P,19,,,1,20,1.4,1,18,,,
spring2022,saebo,2,saebo2,,6,3C,,,,1,11,1.4,1,1.9,,,
spring2022,saebo,2,saebo2,,10,2E,,,,1,11,1.4,0,,,,
spring2022,saebo,5,saebo5,,6,1A,,3.2,3.4,6,42,1.4,12,35,,,
spring2022,saebo,5,saebo5,,10,3C,,4.4,2.3,3,10,1.4,13,30,,,
spring2022,saebo,6,saebo6,,9,4B,,4.5,3.3,3,32,1.4,2,10.8,,,
spring2022,saebo,6,saebo6,,10,4C,,3.2,2,3,28,1.4,4,13.5,,,
spring2022,saebo,6,saebo6,,12,3C,,2.6,2,3,18,1.4,1,3.5,,,
spring2022,saebo,6,saebo6,,19,5E,,,,1,12,1.4,0,,,,
spring2022,saebo,9,saebo9,,3,G,,,,1,22,1.4,2,16,,,
spring2022,saebo,9,saebo9,,4,3A,,,,1,15,1.4,0,,,,
spring2022,hjelle,1,hjelle1,,4,3C,,,,1,5,1.4,1,11.5,,,
spring2022,hjelle,3,hjelle3,,3,4A,,,,1,15,1.4,1,10.5,,,
spring2022,hjelle,3,hjelle3,,30,3C,,,,1,8,1.4,1,1.9,,,
spring2022,hjelle,3,hjelle3,,38,4D,,,,1,11,1.4,1,11.5,,,
spring2022,hjelle,3,hjelle3,,39,4D,,2.5,1.8,2,29,1.4,4,11.5,,,
spring2022,hjelle,4,hjelle4,,4,5B,,2.5,2,2,18,1.4,2,15.5,,,
spring2022,hjelle,4,hjelle4,,7,5C,,,,2,6,1.4,1,8,,,
spring2022,hjelle,4,hjelle4,,24,4E,,,,1,8,1.4,0,,,,
spring2022,hjelle,5,hjelle5,,7,,,,,3,9,1.4,1,17,,,
spring2022,hjelle,5,hjelle5,,20,,,,,1,10,1.4,0,,,,
spring2022,hjelle,5,hjelle5,,24,,,,,2,15,1.4,3,11.5,,,
spring2022,hjelle,6,hjelle6,,8,5D,,,,1,12,1.4,1,10,,,
spring2022,hjelle,6,hjelle6,,10,2C,,,,1,10,1.4,0,,,,
spring2022,hjelle,7,hjelle7,,3,2D,,7,3,2,24,1.4,1,12.5,,,
spring2022,hjelle,7,hjelle7,,12,3E,,,,1,7,1.4,0,,,,
spring2022,hjelle,7,hjelle7,,29,4C,,,,1,6,1.4,0,,,,
spring2022,hjelle,7,hjelle7,,31,1E,,,,1,2,1.4,0,,,,
spring2022,hjelle,9,hjelle9,,1,G,,4,3,2,23,1.4,3,15,,,
spring2022,hjelle,9,hjelle9,,1,5A,,,,1,18,1.4,3,15.5,,,
spring2022,hjelle,9,hjelle9,,3,5B,,3.2,2.2,2,22,1.4,2,19,,,
spring2022,hjelle,9,hjelle9,,25,5C,,3.3,2.3,2,21,1.4,3,19,,,
spring2022,hjelle,10,hjelle10,,4,2C,,,,1,7,1.4,0,,,,
spring2022,ardal,4,ardal4,,5,3D,,,,1,13,1.4,0,,,,
spring2022,ardal,6,ardal6,,3,G,,2.5,2,1,16,1.4,2,14,,,
spring2022,ardal,6,ardal6,,2,3A,,5.5,3.4,4,53,1.4,9,21.5,,,
spring2022,ardal,6,ardal6,,5,2B,,2.5,2,2,13,1.4,0,,,,
spring2022,ardal,6,ardal6,,16,4C,,,,1,15,1.4,1,13.5,,,
spring2022,ardal,6,ardal6,,20,1D,,,,1,11,1.4,0,,,,
spring2022,ardal,6,ardal6,,28,3D,,2,2.4,2,10,1.4,0,,,,
spring2022,helin,3,helin3,,8,4C,,2,1.8,2,19,1.4,1,7,,,
spring2022,helin,4,helin4,,9,1C,,2,2.2,2,18,1.4,2,4,,,
spring2022,helin,4,helin4,,18,2D,,4,1.3,3,17,1.4,0,,,,
spring2022,helin,4,helin4,,19,1E,,2.4,2.8,3,19,1.4,0,,,,
spring2022,helin,5,helin5,,13,5B,,3,1,2,9,1.4,0,,,,
spring2022,helin,5,helin5,,18,4C,,,,1,13,1.4,0,,,,
spring2022,helin,6,helin6,,3,P,92,,,1,29,1.4,0,,,,
spring2022,helin,6,helin6,,9,2C,,,,1,5,1.4,1,5.5,,,
spring2022,helin,8,helin8,,2,P,,,,1,10,1.4,1,8.5,,,
spring2022,helin,10,helin10,,4,4B,,,,1,15,1.4,0,,,,
spring2022,smadalen,2,smadalen2,,2,3A,,3.2,2.4,2,42,1.4,2,4.5,,,
spring2022,smadalen,2,smadalen2,,9,4C,,2.3,2.2,2,21,1.4,0,,,,
spring2022,smadalen,4,smadalen4,,1,1A,,3.4,3.5,7,63,1.4,3,5.7,,,
spring2022,smadalen,5,smadalen5,,4,P,110,4.7,3.2,4,100,1.4,10,4.5,,,
spring2022,smadalen,5,smadalen5,,2,5A,,3,0.7,2,27,1.4,1,1,,,
spring2022,smadalen,8,smadalen8,,4,P,,5,5.5,4,54,1.4,2,7.5,,,
spring2022,bovra,4,bovra4,,3,3A,,2.3,1.7,2,19,1.4,0,,,,
spring2022,bovra,5,bovra5,,2,2C,,7,6,15,150,1.4,2,4.7,,,
spring2022,bovra,10,bovra10,,4,P,,3.5,3.4,2,35,1.4,2,11.5,,,
spring2022,spiterstulen,2,spiterstulen2,,6,3A,,3.5,2.6,2,27,1.4,10,,,,
spring2022,spiterstulen,2,spiterstulen2,,7,1E,,,,1,24,1.4,,,,,
spring2022,spiterstulen,11,spiterstulen11,,7,1C,,,,1,6,1.4,0,,,,
spring2022,laerdal,3,laerdal3,,6,4C,,,,1,14,1.3,0,,,,
spring2022,laerdal,5,laerdal5,,7,5A,,2.7,1.7,2,18,1.3,1,11.5,,,
spring2022,laerdal,5,laerdal5,,16,4A,,,,1,10,1.3,0,,,,
spring2022,laerdal,10,laerdal10,,13,4A,,,,1,6,1.3,0,,,,
spring2022,saebo,2,saebo2,,9,1D,,3.2,2.4,3,33,1.3,1,16.6,,,
spring2022,saebo,4,saebo4,,2,1A,,3.5,2,4,28,1.3,5,29,,,
spring2022,saebo,6,saebo6,,1,1A,,3.2,2.2,2,28,1.3,3,13,,,
spring2022,saebo,6,saebo6,,13,1C,,2.5,2.5,2,21,1.3,2,15,,,
spring2022,saebo,6,saebo6,,18,5D,,,,1,17,1.3,1,10.5,,,
spring2022,saebo,7,saebo7,,2,G,,,,1,10,1.3,3,31,,,
spring2022,saebo,7,saebo7,,4,4D,,4.1,2.4,4,30,1.3,2,17.5,,,
spring2022,saebo,10,saebo10,,1,G,,3.5,2,3,46,1.3,3,20,,,
spring2022,saebo,10,saebo10,,1,1A,,2,1.8,2,16,1.3,0,,,,
spring2022,saebo,10,saebo10,,4,1C,,4.4,3,7,53,1.3,4,20.5,,,
spring2022,hjelle,2,hjelle2,,8,5D,,2.5,1.5,3,22,1.3,6,22,,,
spring2022,hjelle,3,hjelle3,,41,1E,,4.5,2.1,4,50,1.3,0,,,,
spring2022,hjelle,4,hjelle4,,6,5C,,,,1,14,1.3,0,,,,
spring2022,hjelle,5,hjelle5,,22,,,,,1,12,1.3,1,7,,,
spring2022,hjelle,5,hjelle5,,25,,,,,1,11,1.3,1,12,,,
spring2022,hjelle,6,hjelle6,,3,P,,,,1,6,1.3,1,16,,,
spring2022,hjelle,7,hjelle7,,8,2D,,,,1,16,1.3,1,7,,,
spring2022,hjelle,7,hjelle7,,25,5C,,2,2.5,2,21,1.3,4,11.5,,,
spring2022,hjelle,7,hjelle7,,34,,,3.5,1.5,3,22,1.3,2,9,,,
spring2022,hjelle,9,hjelle9,,8,3C,,2.5,1.5,2,12,1.3,0,,,,
spring2022,hjelle,9,hjelle9,,38,3C,,,,1,5,1.3,0,,,,
spring2022,hjelle,10,hjelle10,,7,1D,,,,1,20,1.3,3,19,,,
spring2022,hjelle,10,hjelle10,,10,1E,,3.4,2.5,2,7,1.3,9,12,,,
spring2022,ardal,1,ardal1,,1,4C,,,,1,11,1.3,0,,,,
spring2022,ardal,6,ardal6,,22,1D,,3,2,2,33,1.3,2,19,,,
spring2022,ardal,8,ardal8,,1,3B,,,,1,11,1.3,0,,,,
spring2022,helin,1,helin1,,7,2E,,4.1,1.4,5,52,1.3,1,4.5,,,
spring2022,helin,2,helin2,,4,4D,,,,1,4,1.3,0,,,,
spring2022,helin,4,helin4,,1,1A,,3.2,4.5,4,38,1.3,0,,,,
spring2022,helin,5,helin5,,5,1C,,,,1,8,1.3,0,,,,
spring2022,helin,5,helin5,,6,1C,,,,1,6,1.3,0,,,,
spring2022,helin,6,helin6,,2,2B,,2.5,1.8,2,23,1.3,5,11.5,,,
spring2022,helin,8,helin8,,2,2C,,3.1,2.4,2,28,1.3,0,,,,
spring2022,smadalen,2,smadalen2,,13,1D,,,,1,5,1.3,0,,,,
spring2022,smadalen,2,smadalen2,,16,3D,,3.5,2.3,7,53,1.3,0,,,,
spring2022,smadalen,3,smadalen3,,1,G,105,7,3,8,64,1.3,8,6.5,,,
spring2022,smadalen,4,smadalen4,,4,1E,,,,1,17,1.3,0,,,,
spring2022,smadalen,4,smadalen4,,6,5E,,2.8,2.6,4,33,1.3,2,5,,,
spring2022,smadalen,6,smadalen6,,2,5A,,2.5,2.2,5,45,1.3,1,5.5,,,
spring2022,smadalen,6,smadalen6,,3,5B,,3.2,2.4,6,50,1.3,3,4.5,,,
spring2022,smadalen,7,smadalen7,,4,P,,,,1,14,1.3,0,,,,
spring2022,smadalen,8,smadalen8,,11,1D,,2.5,2.5,2,16,1.3,2,7.5,,,
spring2022,bovra,1,bovra1,,29,5D,,,,1,6,1.3,0,,,,
spring2022,bovra,2,bovra2,,2,2D,,,,1,11,1.3,0,,,,
spring2022,bovra,3,bovra3,,2,3A,,,,1,7,1.3,0,,,,
spring2022,bovra,3,bovra3,,8,5E,,,,1,11,1.3,0,,,,
spring2022,bovra,4,bovra4,,5,5B,,4.4,2.5,6,54,1.3,1,7.5,,,
spring2022,spiterstulen,3,spiterstulen3,,5,3A,,,,1,10,1.3,1,7.2,,,
spring2022,spiterstulen,4,spiterstulen4,,4,P,148,5,4.5,4,70,1.3,3,11.5,,,
spring2022,spiterstulen,4,spiterstulen4,,3,4C,,5.8,3.5,5,60,1.3,5,12.5,,,
spring2022,spiterstulen,7,spiterstulen7,,1,5A,,,,1,12,1.3,2,22.5,,,
spring2022,laerdal,4,laerdal4,,3,G,8,,,1,12,1.2,3,21,,,
spring2022,laerdal,5,laerdal5,,4,4A,,,,1,11,1.2,0,,,,
spring2022,laerdal,5,laerdal5,,10,5A,,,,1,10,1.2,0,,,,
spring2022,laerdal,6,laerdal6,,13,4B,,,,2,15,1.2,0,,,,
spring2022,laerdal,6,laerdal6,,22,3D,,,,1,11,1.2,1,5.5,,,
spring2022,laerdal,10,laerdal10,,1,G,20,,,1,12,1.2,,,,,
spring2022,saebo,1,saebo1,,2,4C,,,,1,11,1.2,1,18.3,,,
spring2022,saebo,2,saebo2,,4,G,,4.5,3,8,72,1.2,16,22.5,,,
spring2022,saebo,2,saebo2,,2,4A,,1.9,1.5,3,23,1.2,1,22,,,
spring2022,saebo,3,saebo3,,3,3A,,,,1,5,1.2,1,16.5,,,
spring2022,saebo,4,saebo4,,1,3C,,3,2.6,4,29,1.2,4,22.5,,,
spring2022,saebo,5,saebo5,,2,G,29,,,1,28,1.2,2,18,,,
spring2022,saebo,6,saebo6,,2,3A,,,,1,13,1.2,1,5,,,
spring2022,saebo,7,saebo7,,1,P,33,,,1,8,1.2,1,16,,,
spring2022,saebo,8,saebo8,,2,G,,4,2,3,27,1.2,1,15.5,,,
spring2022,saebo,9,saebo9,,3,5B,,3.2,2.2,3,35,1.2,3,24,,,
spring2022,saebo,10,saebo10,,2,3A,,,,1,9,1.2,0,,,,
spring2022,saebo,10,saebo10,,8,3D,,3.5,1.5,4,33,1.2,0,,,,
spring2022,saebo,10,saebo10,,10,4E,,,,1,10,1.2,2,11.5,,,
spring2022,hjelle,1,hjelle1,,3,3C,,,,1,10,1.2,0,,,,
spring2022,hjelle,3,hjelle3,,4,P,,,,1,21,1.2,1,1.9,,,
spring2022,hjelle,3,hjelle3,,15,4B,,,,1,7,1.2,1,4.5,,,
spring2022,hjelle,3,hjelle3,,19,1C,,,,1,13,1.2,0,,,,
spring2022,hjelle,3,hjelle3,,33,3C,,3.2,3.2,2,35,1.2,2,12,,,
spring2022,hjelle,3,hjelle3,,34,4C,,,,1,9,1.2,0,,,,
spring2022,hjelle,4,hjelle4,,1,G,,2,2,2,26,1.2,3,16,,,
spring2022,hjelle,4,hjelle4,,5,5B,,2,1.5,1,16,1.2,2,14,,,
spring2022,hjelle,4,hjelle4,,18,2D,,,,1,12,1.2,1,4.5,,,
spring2022,hjelle,5,hjelle5,,8,,,,,1,14,1.2,3,15.5,,,
spring2022,hjelle,5,hjelle5,,13,,,,,2,14,1.2,1,15,,,
spring2022,hjelle,6,hjelle6,,7,5D,,,,1,8,1.2,2,19,,,
spring2022,hjelle,7,hjelle7,,6,2C,,5,3,6,69,1.2,8,12,,,
spring2022,hjelle,7,hjelle7,,10,3D,,,,1,45,1.2,7,11,,,
spring2022,hjelle,7,hjelle7,,24,5C,,5,2.2,4,27,1.2,2,5.5,,,
spring2022,hjelle,7,hjelle7,,30,3C,,,,1,13,1.2,0,,,,
spring2022,hjelle,7,hjelle7,,39,5D,,3.5,3.4,4,38,1.2,0,,,,
spring2022,hjelle,8,hjelle8,,4,P,56,3,2.5,3,32,1.2,3,14,,,
spring2022,hjelle,9,hjelle9,,2,5A,,2.2,2.1,2,21,1.2,2,14,,,
spring2022,ardal,5,ardal5,,6,1B,,3,2.5,2,16,1.2,3,1.5,,,
spring2022,ardal,6,ardal6,,1,G,,,,1,14,1.2,6,13.5,,,
spring2022,ardal,6,ardal6,,8,4B,,,,1,11,1.2,2,20.5,,,
spring2022,ardal,6,ardal6,,10,3C,,,,1,23,1.2,4,16.5,,,
spring2022,ardal,6,ardal6,,24,1D,,,,1,16,1.2,0,,,,
spring2022,ardal,6,ardal6,,26,1E,,,,1,16,1.2,0,,,,
spring2022,ardal,8,ardal8,,4,3C,,,,1,13,1.2,0,,,,
spring2022,helin,1,helin1,,2,1C,,3.5,2,3,26,1.2,3,9,,,
spring2022,helin,1,helin1,,6,2E,,,,1,33,1.2,0,,,,
spring2022,helin,2,helin2,,5,4D,,,,1,5,1.2,0,,,,
spring2022,helin,3,helin3,,4,P,,3.5,1.7,2,42,1.2,1,5.5,,,
spring2022,helin,3,helin3,,3,2C,,3,1.5,2,21,1.2,1,4.3,,,
spring2022,helin,3,helin3,,17,4B,,,,1,9,1.2,0,,,,
spring2022,helin,4,helin4,,2,G,88,3.2,4,2,65,1.2,3,4.5,,,
spring2022,helin,4,helin4,,4,3A,,,,1,10,1.2,0,,,,
spring2022,helin,4,helin4,,8,3B,,2.4,1.9,2,18,1.2,0,,,,
spring2022,helin,5,helin5,,1,P,,2.5,3,5,53,1.2,,,,,
spring2022,helin,5,helin5,,3,P,89,2.9,1.8,3,47,1.2,0,,,,
spring2022,helin,5,helin5,,10,5C,,3,1.5,2,21,1.2,0,,,,
spring2022,helin,7,helin7,,2,3B,,,,1,6,1.2,0,,,,
spring2022,helin,7,helin7,,18,3D,,,,1,10,1.2,2,4,,,
spring2022,helin,10,helin10,,11,2D,,,,1,8,1.2,3,13.5,,,
spring2022,smadalen,1,smadalen1,,4,P,102,5,2.3,3,65,1.2,3,0.5,,,
spring2022,smadalen,2,smadalen2,,12,2D,,3.4,3.5,7,69,1.2,3,5.5,,,
spring2022,smadalen,3,smadalen3,,2,P,,3.5,2.2,6,52,1.2,6,7.5,,,
spring2022,smadalen,6,smadalen6,,12,1B,,3.1,2,5,44,1.2,2,3.8,,,
spring2022,smadalen,6,smadalen6,,20,5D,,2.6,1.7,3,37,1.2,3,6.5,,,
spring2022,smadalen,8,smadalen8,,2,P,,3,1.5,2,32,1.2,2,8,,,
spring2022,smadalen,8,smadalen8,,9,1C,,,,1,8,1.2,1,8,,,
spring2022,bovra,1,bovra1,,4,P,,,,1,35,1.2,2,13,,,
spring2022,bovra,1,bovra1,,3,2A,,,,1,7,1.2,0,,,,
spring2022,bovra,1,bovra1,,10,1B,,,,1,6,1.2,0,,,,
spring2022,bovra,1,bovra1,,13,1B,,,,1,8,1.2,0,,,,
spring2022,bovra,1,bovra1,,28,4D,,,,1,7,1.2,0,,,,
spring2022,bovra,3,bovra3,,4,3A,,,,1,9,1.2,0,,,,
spring2022,bovra,8,bovra8,,4,5B,,,,1,21,1.2,1,0.8,,,
spring2022,bovra,8,bovra8,,8,3D,,,,1,4,1.2,0,,,,
spring2022,spiterstulen,1,spiterstulen1,,2,2D,,,,1,17,1.2,2,,,,
spring2022,spiterstulen,2,spiterstulen2,,5,2A,,2,2,3,28,1.2,9.5,,,,
spring2022,spiterstulen,4,spiterstulen4,,1,2A,,,,1,18,1.2,0,,,,
spring2022,spiterstulen,6,spiterstulen6,,4,2A,,,,1,9,1.2,0,,,,
spring2022,spiterstulen,6,spiterstulen6,,5,4B,,,,1,7,1.2,0,,,,
spring2022,spiterstulen,9,spiterstulen9,,3,P,158,4.5,3.2,6,48,1.2,3,11,,,
spring2022,spiterstulen,9,spiterstulen9,,4,1C,,,,1,17,1.2,0,,,,
spring2022,laerdal,6,laerdal6,,6,1A,,3.3,1.8,2,22,1.1,0,,,,
spring2022,laerdal,6,laerdal6,,14,4B,,,,1,11,1.1,0,,,,
spring2022,saebo,1,saebo1,,1,1E,,,,1,6,1.1,1,11.6,,,
spring2022,saebo,2,saebo2,,4,4B,,2.1,3,2,23,1.1,0,,,,
spring2022,saebo,3,saebo3,,16,5B,,,,1,3,1.1,0,,,,
spring2022,saebo,5,saebo5,,2,5B,,1.8,2,2,24,1.1,1,9.5,,,
spring2022,saebo,5,saebo5,,11,3E,,2.1,1.9,2,18,1.1,1,10.5,,,
spring2022,saebo,8,saebo8,,4,G,,7,5,6,68,1.1,8,23.5,,,
spring2022,saebo,10,saebo10,,9,3D,,1.3,2,2,18,1.1,1,14,,,
spring2022,hjelle,1,hjelle1,,2,3C,,2,1.6,2,14,1.1,0,,,,
spring2022,hjelle,2,hjelle2,,10,5E,,,,1,6,1.1,0,,,,
spring2022,hjelle,3,hjelle3,,14,4B,,,,1,12,1.1,0,,,,
spring2022,hjelle,3,hjelle3,,16,2B,,,,1,9,1.1,0,,,,
spring2022,hjelle,4,hjelle4,,21,3D,,,,1,5,1.1,0,,,,
spring2022,hjelle,5,hjelle5,,2,,,,,1,12,1.1,1,9.5,,,
spring2022,hjelle,6,hjelle6,,14,2D,,,,1,16,1.1,1,10,,,
spring2022,hjelle,6,hjelle6,,16,3D,,,,1,12,1.1,1,16,,,
spring2022,hjelle,7,hjelle7,,27,4C,,4.5,2,4,42,1.1,2,7,,,
spring2022,ardal,1,ardal1,,4,G,,4,1.5,3,24,1.1,4,19,,,
spring2022,ardal,6,ardal6,,18,5C,,,,1,11,1.1,0,,,,
spring2022,helin,4,helin4,,1,R,87,4.2,2.4,2,60,1.1,0,,,,
spring2022,helin,4,helin4,,13,3C,,,,1,12,1.1,0,,,,
spring2022,helin,5,helin5,,14,5B,,,,1,5,1.1,0,,,,
spring2022,helin,6,helin6,,1,5A,,4.5,2,4,85,1.1,3,4.5,,,
spring2022,helin,10,helin10,,12,1E,,,,1,14,1.1,1,8,,,
spring2022,smadalen,1,smadalen1,,2,G,,,,1,10,1.1,0,,,,
spring2022,smadalen,4,smadalen4,,3,2C,,1.6,1.3,2,17,1.1,0,,,,
spring2022,smadalen,5,smadalen5,,2,P,109,3.1,2.5,4,50,1.1,3,3.5,,,
spring2022,smadalen,6,smadalen6,,15,1C,,2.4,2.5,4,24,1.1,0,,,,
spring2022,smadalen,6,smadalen6,,16,1D,,2.2,1.5,3,40,1.1,3,5.2,,,
spring2022,smadalen,8,smadalen8,,7,1D,,2.5,2,2,17,1.1,2,5.5,,,
spring2022,smadalen,8,smadalen8,,8,3D,,7,4,5,35,1.1,7,12,,,
spring2022,bovra,1,bovra1,,11,1B,,,,1,8,1.1,0,,,,
spring2022,bovra,6,bovra6,,4,1C,,,,1,12,1.1,1,1.5,,,
spring2022,spiterstulen,1,spiterstulen1,,4,1E,,2,1.7,2,16,1.1,0,,,,
spring2022,spiterstulen,2,spiterstulen2,,3,2A,,,,1,12,1.1,3.1,,,,
spring2022,spiterstulen,3,spiterstulen3,,3,3A,,2.2,2.5,2,16,1.1,2,5.5,,,
spring2022,spiterstulen,4,spiterstulen4,,3,G,,5,1.2,2,40,1.1,1,7.5,,,
spring2022,spiterstulen,6,spiterstulen6,,1,1B,,3.2,3.4,4,49,1.1,2,9.5,,,
spring2022,laerdal,5,laerdal5,,2,P_G,,,,2,12,1,1,3.5,,,
spring2022,laerdal,6,laerdal6,,1,2A,,,,1,8,1,0,,,,
spring2022,laerdal,6,laerdal6,,3,2A,,2.2,3,2,13,1,0,,,,
spring2022,laerdal,6,laerdal6,,4,2A,,,,1,4,1,0,,,,
spring2022,laerdal,6,laerdal6,,33,4D,,,,1,9,1,0,,,,
spring2022,saebo,2,saebo2,,1,P,23,3,1.5,3,36,1,3,20,,,
spring2022,saebo,2,saebo2,,2,G,,3,1.5,4,36,1,2,17.5,,,
spring2022,saebo,3,saebo3,,3,P,,2.4,2.3,2,29,1,2,19,,,
spring2022,saebo,5,saebo5,,3,G,,,,1,12,1,2,15,,,
spring2022,saebo,5,saebo5,,3,4B,,,,1,14,1,0,,,,
spring2022,saebo,6,saebo6,,1,P,31,2.2,2.1,2,34,1,5,21,,,
spring2022,saebo,6,saebo6,,3,4A,,2.3,0.9,2,11,1,1,11,,,
spring2022,saebo,6,saebo6,,4,4A,,3,1.8,4,26,1,1,6.5,,,
spring2022,saebo,9,saebo9,,2,5B,,,,1,12,1,1,5,,,
spring2022,saebo,9,saebo9,,5,1B,,2.7,1.5,2,31,1,2,14,,,
spring2022,saebo,10,saebo10,,6,2C,,1.7,1.8,2,7,1,2,11,,,
spring2022,hjelle,3,hjelle3,,13,4B,,,,1,10,1,1,9,,,
spring2022,hjelle,3,hjelle3,,31,3C,,,,1,8,1,1,1.9,,,
spring2022,hjelle,5,hjelle5,,9,,,,,1,14,1,1,15,,,
spring2022,hjelle,5,hjelle5,,12,,,,,1,15,1,3,17,,,
spring2022,hjelle,5,hjelle5,,18,,,,,1,7,1,1,11,,,
spring2022,hjelle,5,hjelle5,,26,,,,,1,12,1,0,,,,
spring2022,hjelle,5,hjelle5,,28,,,,,1,8,1,1,13,,,
spring2022,hjelle,7,hjelle7,,40,5D,,1.8,2.7,4,40,1,1,2.5,,,
spring2022,hjelle,9,hjelle9,,16,4C,,,,1,8,1,0,,,,
spring2022,hjelle,9,hjelle9,,37,4E,,,,1,15,1,2,13,,,
spring2022,hjelle,10,hjelle10,,13,5E,,,,1,7,1,0,,,,
spring2022,ardal,5,ardal5,,8,1C,,3,2.4,2,15,1,0,,,,
spring2022,helin,2,helin2,,2,1A,,1.2,1.4,2,17,1,1,6.2,,,
spring2022,helin,4,helin4,,15,4E,,1.4,1.7,2,24,1,0,,,,
spring2022,helin,5,helin5,,3,2B,,,,1,10,1,0,,,,
spring2022,helin,5,helin5,,12,5B,,1.5,1.1,2,8,1,0,,,,
spring2022,helin,6,helin6,,4,3C,,3,2.5,3,32,1,1,4.5,,,
spring2022,helin,7,helin7,,10,3C,,,,1,18,1,0,,,,
spring2022,helin,7,helin7,,23,5E,,2.3,3,3,57,1,2,4,,,
spring2022,smadalen,3,smadalen3,,3,3D,,6.5,4.3,11,64,1,4,6.5,,,
spring2022,smadalen,4,smadalen4,,1,P,107,5.5,3,4,60,1,3,7.5,,,
spring2022,smadalen,6,smadalen6,,14,1C,,1.5,3.1,2,18,1,0,,,,
spring2022,smadalen,6,smadalen6,,18,5D,,2,1.6,2,20,1,0,,,,
spring2022,smadalen,6,smadalen6,,23,2E,,,,1,7,1,0,,,,
spring2022,smadalen,8,smadalen8,,3,1C,,,,1,8,1,2,9,,,
spring2022,bovra,1,bovra1,,16,3B,,,,1,12,1,0,,,,
spring2022,bovra,1,bovra1,,22,2B,,,,1,8,1,0,,,,
spring2022,spiterstulen,3,spiterstulen3,,4,3A,,3,2.7,4,29,1,0,,,,
spring2022,laerdal,5,laerdal5,,14,4B,,,,1,7,0.9,0,,,,
spring2022,saebo,2,saebo2,,3,4A,,,,1,10,0.9,0,,,,
spring2022,saebo,3,saebo3,,2,3A,,,,3,14,0.9,0,,,,
spring2022,saebo,3,saebo3,,14,2D,,,,1,9,0.9,1,10.2,,,
spring2022,saebo,5,saebo5,,1,5B,,2.5,1,2,9,0.9,5,35,,,
spring2022,saebo,6,saebo6,,5,5B,,2.6,1.9,2,17,0.9,2,14,,,
spring2022,saebo,6,saebo6,,6,5B,,1.8,1,2,11,0.9,1,11,,,
spring2022,saebo,7,saebo7,,3,G,34,4,2.5,6,47,0.9,3,23,,,
spring2022,saebo,7,saebo7,,1,2B,,2,1.2,2,3,0.9,2,25.5,,,
spring2022,hjelle,3,hjelle3,,4,4A,,,,1,7,0.9,0,,,,
spring2022,hjelle,3,hjelle3,,7,5B,,,,1,9,0.9,0,,,,
spring2022,hjelle,3,hjelle3,,27,2C,,,,1,9,0.9,0,,,,
spring2022,hjelle,3,hjelle3,,42,5B,,,,1,10,0.9,1,13.5,,,
spring2022,hjelle,5,hjelle5,,11,,,,,2,12,0.9,1,3,,,
spring2022,hjelle,5,hjelle5,,17,,,,,1,7,0.9,0,,,,
spring2022,hjelle,5,hjelle5,,23,,,,,3,21,0.9,2,25.5,,,
spring2022,hjelle,7,hjelle7,,9,3D,,3.5,4,3,53,0.9,2,3.5,,,
spring2022,ardal,6,ardal6,,12,3C,,,,1,8,0.9,0,,,,
spring2022,helin,4,helin4,,3,2A,,1.7,1.5,2,24,0.9,0,,,,
spring2022,helin,5,helin5,,2,2B,,,,1,11,0.9,1,8,,,
spring2022,helin,6,helin6,,5,3B,,,,1,8,0.9,,,,,
spring2022,helin,7,helin7,,15,3D,,,,1,14,0.9,0,,,,
spring2022,helin,9,helin9,,2,G,,,,1,20,0.9,1,14.5,,,
spring2022,smadalen,1,smadalen1,,3,G,,,,1,21,0.9,1,1.5,,,
spring2022,smadalen,2,smadalen2,,1,P,,3.6,2.1,2,50,0.9,2,4,,,
spring2022,smadalen,2,smadalen2,,4,P,,,,1,13,0.9,0,,,,
spring2022,smadalen,3,smadalen3,,2,4B,,3.7,2.9,4,47,0.9,8,8,,,
spring2022,smadalen,4,smadalen4,,2,G,,2.6,1.6,2,27,0.9,3,7.5,,,
spring2022,smadalen,5,smadalen5,,3,3B,,2.1,1.4,2,32,0.9,1,2,,,
spring2022,smadalen,5,smadalen5,,5,1C,,,,1,28,0.9,1,3.5,,,
spring2022,smadalen,5,smadalen5,,6,3D,,2.4,1.3,2,30,0.9,2,3,,,
spring2022,smadalen,6,smadalen6,,1,5A,,2,1.7,5,64,0.9,4,4.5,,,
spring2022,smadalen,6,smadalen6,,19,5D,,2.3,1.7,2,27,0.9,1,4,,,
spring2022,smadalen,6,smadalen6,,21,5D,,,,1,12,0.9,1,1.2,,,
spring2022,smadalen,7,smadalen7,,1,P,,,,1,8,0.9,0,,,,
spring2022,smadalen,7,smadalen7,,2,G,113,3,1.5,2,34,0.9,3,1,,,
spring2022,spiterstulen,6,spiterstulen6,,7,4C,,,,1,8,0.9,0,,,,
spring2022,laerdal,1,laerdal1,,5,C4,,,,1,8,0.8,,,,,
